"","A1A","A1B","A1C","A2A","A2B","A2C","A3A","A3B","A3C","C1A","C1B","C1C","C2A","C2B_1","C2C_1","C3A_1","C3B","C3C_1","C4A","C4B","C4C","C5A","C5B","C5C"
"ACZ81_RS00110",9.74653970211464,9.87227273134425,10.4492459639589,8.54740902511284,9.06862783343533,8.82971749649752,10.0200592400997,8.99498926382555,8.76719930858128,9.98770249484337,10.0330253089434,9.52378069266453,9.07696991508655,8.92689339928231,9.57611107165073,8.59943064455487,9.63868417451024,8.52697950591693,8.63740390160705,8.73133048369453,8.96858874343992,8.50073898154868,8.28855673979825,8.53984925540308
"ACZ81_RS00115",12.2168236478554,12.0506280701833,12.0874965885524,10.614770152824,11.1664081739053,11.430281602578,11.7446243502409,11.2414848033744,11.2362067456764,11.9864038199705,12.0325049865133,11.936833959291,11.2056144736711,11.2976676421928,11.8756351757412,11.3099935280294,11.6304025332219,10.8307377686422,11.1741430480395,10.9987326440805,11.1285020164374,11.5559609102821,11.5667529633233,11.7561244721192
"ACZ81_RS00120",8.26639747073538,8.38198423926628,7.8390927289183,7.37805445618026,7.96007975085984,8.14673288297746,8.13558416279541,8.20864562537646,8.41291051256551,8.05502341467002,8.45485630374866,8.69625944633718,7.92588709737513,7.41065818858157,7.89741241823763,7.81500011537941,7.5962334038167,7.69921843952872,7.94134611220921,8.02636474599077,6.58824610117961,8.42576588659927,8.51330302040849,8.46174937700268
"ACZ81_RS00125",7.23385070797943,7.3327658284279,7.17450669959516,7.82967074912974,7.98208845835064,7.18406177788198,7.73348319260701,8.03652301649828,7.93528176099677,7.64807009234866,6.92757383353265,8.0252503237814,8.12171936804014,7.62255940390912,7.36212552428936,8.13845870703724,7.40957121710782,7.82513995316789,7.95504768423662,8.12543225175648,7.47020908578891,7.72359995700032,7.79298105994956,7.74250188422029
"ACZ81_RS00130",7.15770617088493,7.35786235875681,6.2600114177726,7.40433997208251,7.11781360981236,7.1624176929282,7.52817444495184,7.45895901599913,7.24366778520516,7.09780756111392,7.12298916681569,8.09476057709013,8.09461041864314,7.61749834044581,7.28985319809682,7.76467751126695,7.21035261208149,7.39236144817513,7.44491138221631,7.4135608875256,7.20136498890992,7.37922824646523,7.81644906173189,7.61990328274762
"ACZ81_RS00135",11.1104319702815,10.6723051738236,5.94755455261188,9.04120816888915,8.7635640012402,9.51822616469072,9.40281440215837,6.57268063255796,4.77172624036679,8.41863312622534,5.73620309499061,4.92404879348041,4.53448802028382,4.60763424192108,4.90691495931106,4.78831684451948,5.86981867904745,4.92391467942272,5.1226667717283,4.6811341834151,5.86480160462486,5.12894008826149,5.02045082508926,3.91637427275574
"ACZ81_RS00140",6.92681780794615,6.55350198804554,7.27641328366271,6.94836126430341,7.14738036751778,6.6170960613513,6.61563554380874,6.29001787725439,6.44325858765088,6.84726957888144,6.59208202991896,6.86247067677984,6.47242364988138,6.38709972312824,6.57445749888803,6.22919872037347,6.6920253302386,6.63865653658615,6.76081796357536,6.4915797212104,6.61631647956148,6.21801477061645,6.60059726023535,6.57213622738681
"ACZ81_RS00145",7.78211627678317,8.0426407698673,6.94603067123789,7.74997993100018,8.30374030887122,7.96145688611445,7.88209189084137,7.92433228779977,7.81171700496571,6.97800390878294,6.98617549312176,7.49796243073743,7.85714674531023,7.90181506157094,8.10519477668635,8.14174720094517,8.08610621051972,7.75091601057679,7.93444613799639,7.76467921932456,8.38984992536683,7.89407202993714,7.91756455609177,7.36696666739018
"ACZ81_RS00150",8.87254527540552,8.52712866258911,8.35850313257838,8.98144855580934,9.28091218202343,8.9200093245718,9.09094498496453,8.72954267572233,9.00065298277727,8.62502511881051,8.80250334326055,9.05114645517108,8.76014286663035,9.08175411359689,9.06881699761168,8.94629525788057,9.06828183165577,8.68802961437399,8.90768452713589,9.19362527423533,8.92458841466008,9.01145709621299,9.00166432460271,9.16693488778055
"ACZ81_RS00155",8.89399462210604,8.8141434679219,8.07201976338155,8.86343524389106,8.86470967038707,8.85955270653424,8.24532610049076,8.44101991241594,8.70014266086235,9.05230065850889,9.12202584191956,9.40846485740307,8.43237498189626,8.14969928012859,8.38702080398003,8.13516269090539,8.47022013554663,8.65451680575759,8.78271238530896,8.73133048369453,7.95921577299064,8.59119157178062,8.47696925116849,8.53984925540308
"ACZ81_RS00180",6.46808058983098,6.53152862830763,8.30172668435135,6.02531202491589,6.23811488679768,6.15352645219859,6.95184389817574,6.02018606793742,5.22494329945963,7.97400661167605,7.66093485046185,6.07087551472775,5.42587723892519,6.53471128817512,7.08292548398736,5.65188139282674,6.97897902307057,5.89595807598893,5.78866759692475,5.87845687520289,6.23632334444344,5.08446058189341,6.12092528724172,5.82480529577453
"ACZ81_RS00185",7.39322476899097,7.47716621213658,6.94603067123789,6.48807770293031,7.48487998653485,7.25530339539766,7.34286534968388,7.45895901599913,7.33505988999556,7.13561788723295,6.47388189615399,7.34645314056631,7.25824451201925,7.45106324443212,7.31919966769879,7.41359222236748,7.6701606481362,7.21949068975606,7.22480083223459,7.5812964192746,8.03363723080165,7.4141722490102,7.2191692689081,6.93656468244398
"ACZ81_RS00190",8.16060655824257,8.1894943574989,8.09448275456985,6.62899602487803,7.37262829569658,7.37676474737443,7.03903498244182,7.2617949196422,7.06667530113672,8.1502799975004,6.86647350493809,7.57787333142283,7.15210428251667,7.075989702667,7.63132053230115,6.44826878206506,7.41619980735134,7.16329551094483,7.11906064272119,7.16264473319192,7.78547983777201,6.97316197524534,6.64075148603564,6.65283060742202
"ACZ81_RS00195",7.22709289933872,7.06192631467684,7.81223114173015,7.74997993100018,6.88008984234713,7.33869381078207,7.1563012084598,7.18027705799843,7.40866779272529,7.67396299713365,7.66093485046185,7.82706291088649,7.17585482265527,6.96861243103986,7.4837103163626,6.24161104231523,6.45413233691668,5.82438876301945,6.28169545141502,6.4715238788966,6.61631647956148,6.40440197648302,6.61410783226633,6.97466283823087
"ACZ81_RS00200",6.94342211764055,7.60838224881654,7.1316292533398,7.29618476050407,7.64528266644153,7.93366007901866,7.87159465288396,7.59090006501148,8.15895565753784,8.18668663445187,8.18234339802942,8.64158632512508,7.84536412448008,6.41082899413323,7.87784391127808,5.5135748479027,5.80986327155813,5.87250531844349,6.30343499359175,5.90883715061513,6.74894782288966,6.59996631010842,6.29941458426216,6.96207561437167
"ACZ81_RS00205",7.95136809715474,8.7036516627509,7.77097514658284,8.12638173453401,8.44904140062955,8.55755554536172,9.48424475286902,8.13855388054401,8.31214429318628,9.10554178616597,8.71018872968773,8.74893498258392,7.85421011582624,7.72021366290014,8.55653200163358,6.05707944114657,6.83773877391384,5.77455872060936,6.36672620771168,6.84289629591249,7.29090252347094,7.05302907930172,7.09013216734484,7.90880178993373
"ACZ81_RS00210",7.19973916504353,6.88308210974893,7.47801720914344,7.50492540675182,6.49076631994164,6.72167287889338,7.16493702939267,6.4715017293619,6.71233123597793,7.22600415827794,6.89734933781744,7.04255100271129,7.07839993686869,7.14804807952123,7.19803627535756,7.06378781956049,7.6251181193378,7.34264791401158,7.16702000897639,7.45482395702756,7.55934060621081,7.05302907930172,7.40882701725258,7.56279738217844
"ACZ81_RS00215",8.90036770343448,9.2008849883548,8.87538181185714,8.75543268060895,9.05052684332449,9.21046911330461,8.65626482726056,8.88680051621629,9.06476899822389,9.33361560141259,9.35046114468715,9.69012494080049,9.12402010077383,9.27553824646227,8.84540888866275,9.56745812723117,8.42826180559139,9.50918157922495,9.45003306649133,9.37627441680771,8.52861519340483,9.36574077274201,9.4127313269595,9.38240248850072
"ACZ81_RS00220",6.50219942542504,6.37979804476204,6.6129039021266,7.29618476050407,6.88008984234713,6.44789195594342,5.91064021268076,6.36964206672084,6.25679096197653,6.36315576294075,6.38925868017844,6.54110959829787,6.57635719808273,6.51297343243396,6.21524523145445,5.38285402559408,6.44112906038374,6.3325204367154,6.44695832294652,6.05160909696669,6.30712827677576,5.85686739798627,5.87191005367184,5.85267588783455
"ACZ81_RS00225",10.0039113792808,10.1330116552099,9.1464607995717,10.1936836734374,10.1406999648075,10.1650080308043,9.85948874767833,9.92445884833879,10.3511792448668,10.045806880942,10.4328080169764,10.4870501807091,10.6943546946583,10.3126769352123,10.1349114007136,10.6725377255757,9.48191243932805,10.5299712581186,10.3985608992247,10.6229890576432,9.75485941411855,10.3493732787022,10.6834491386857,10.7722940173416
